product_id,date,category,brand,cost_price,base_price,actual_price,discount_percent,units_sold,demand_score,season,competitor_price,price_gap,competitor_stock,page_views,add_to_cart_rate,conversion_rate,stock_available,stock_out,lead_time_days,price_elasticity
9593,2023-04-13,Grocery,BrandD,756.91,789.67,1309.16,36.72,143.0,40.0,Normal,2450.0,-1140.84,Yes,368.0,0.08,0.28,138,Yes,22,1.41
3653,2023-12-15,Beauty,BrandE,629.9,2071.88,1074.63,39.54,108.0,32.0,Off-season,1247.3,-172.66999999999985,No,940.0,0.35,0.11,419,Yes,9,2.91
6611,2023-09-28,Electronics,BrandE,1351.23,887.11,1860.3,54.87,108.0,44.0,Festival,1543.05,317.25,Yes,1750.0,0.06,0.02,375,No,13,2.91
7127,2023-04-17,Home,BrandD,154.24,2461.79,1742.84,31.6,43.0,98.0,Festival,2145.12,-402.28,No,1134.0,0.35,0.23,453,No,25,1.28
4923,2023-03-13,Home,BrandC,870.91,185.56,1698.41,26.44,89.0,68.0,Off-season,617.48,1080.93,Yes,1337.0,0.12,0.25,218,Yes,25,-2.6
9459,2023-07-08,Home,BrandE,1276.87,652.01,1826.72,37.99,121.0,22.0,Festival,1370.04,456.68000000000006,Yes,1730.0,0.06,0.22,196,No,18,0.32
6912,2023-01-21,Home,BrandC,1482.77,915.81,2190.66,33.24,68.0,45.0,Normal,2245.66,-55.0,Yes,1891.0,0.01,0.15,310,No,19,-1.87
6130,2023-04-13,Grocery,BrandA,1063.15,2783.34,631.18,3.69,,31.0,Festival,1936.29,-1305.1100000000001,No,79.0,0.26,0.08,225,Yes,10,-0.98
6439,2023-05-02,Grocery,BrandB,600.91,2409.32,1447.05,10.83,70.0,51.0,Festival,963.38,483.66999999999996,No,692.0,0.43,0.13,224,Yes,15,0.22
8880,2023-08-03,Fashion,BrandA,647.15,2664.02,1539.99,0.81,161.0,77.0,Normal,1564.8,-24.809999999999945,No,446.0,0.38,0.05,345,No,17,-1.04
7449,2023-11-27,Fashion,BrandB,559.94,1377.39,788.71,6.49,119.0,32.0,Off-season,100.24,688.47,No,437.0,0.14,0.19,164,No,25,1.71
2725,2023-03-29,Electronics,BrandE,925.24,2485.43,2470.84,43.79,85.0,68.0,Festival,199.19,2271.65,No,717.0,0.08,0.02,52,No,5,-2.77
8522,2023-04-10,Fashion,BrandB,1122.14,2575.13,1981.0,0.28,20.0,56.0,Normal,365.87,1615.13,Yes,404.0,0.48,0.05,115,Yes,18,-0.64
5784,2023-12-26,Electronics,BrandB,1238.23,1259.87,857.46,18.26,146.0,34.0,Normal,,,No,1057.0,0.42,0.18,440,Yes,5,1.32
